,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,50,GMM,0.24085269249974212,0.519213409641622,0.6119125258622419,1.7617251856227623
0,GMM,50,GME,0.32772684307044536,0.6755942003821601,0.8078703156504425,2.35771797523755
0,GMM,50,VMF,0.2546513222758239,0.5506827142933277,0.6123853505276893,1.7606640797584077
0,GMM,50,true,0.22609226632025942,0.4902073138845253,0.6048378375837316,1.742324154024262
0,GMM,50,GMM,0.2362312729780376,0.511763083257328,0.5972362017442754,1.7566986128133362
0,GMM,50,GME,0.3163443598921491,0.6547707809732584,0.7818352044618772,2.3231748490335513
0,GMM,50,VMF,0.2477089637540204,0.536872381374383,0.5957334720323001,1.750204782214052
0,GMM,50,true,0.21207975168696458,0.4632893995244527,0.5893079597120976,1.7337530710421194
0,GMM,50,GMM,0.21491240328887465,0.4757793738588535,0.5729279930242794,1.7225186147468106
0,GMM,50,GME,0.301462914009629,0.641003964476883,0.7707586159194614,2.3449016619831506
0,GMM,50,VMF,0.23008732823588285,0.5018540208004607,0.574634612033737,1.7235963022449534
0,GMM,50,true,0.1978073897091845,0.43887048534693773,0.5637685483901439,1.6941146408957324
0,GMM,50,GMM,0.21595450297494745,0.46994623640205047,0.5870633043396809,1.7377681819301731
0,GMM,50,GME,0.32220498181842017,0.6743022515734312,0.8040006541453627,2.404441844866531
0,GMM,50,VMF,0.22782853551303944,0.49490766835636846,0.5883719428478508,1.738856007917833
0,GMM,50,true,0.20395653160425758,0.4466626384892926,0.5818750811799358,1.7224033728101982
0,GMM,50,GMM,0.24101810773893045,0.523600460458771,0.5967025884805542,1.763167738436997
0,GMM,50,GME,0.35004273921165957,0.7247538334274964,0.7754813849569884,2.3127330926698604
0,GMM,50,VMF,0.24579271205394812,0.5287512465884104,0.5944963638445412,1.75401178755134
0,GMM,50,true,0.22113852238352166,0.4838536369402662,0.5883725304409129,1.7404468100442274
0,GMM,50,GMM,0.2649662604825858,0.5668816236220379,0.625635102489159,1.817240027041595
0,GMM,50,GME,0.33681230929301104,0.6994586435809864,0.8004540003210746,2.353434797843536
0,GMM,50,VMF,0.2765797678175375,0.5907304204647104,0.6257211604386662,1.814411041288662
0,GMM,50,true,0.2309468339322669,0.5000129388329716,0.6117201503476045,1.7766537528001964
0,GMM,50,GMM,0.263200740706832,0.5537947845357272,0.6283059115466584,1.8023155657416867
0,GMM,50,GME,0.34261306388134455,0.7010466555343243,0.8158169080892408,2.3677401286277995
0,GMM,50,VMF,0.2662350651322464,0.5567817694149299,0.6238304384167985,1.788789471505613
0,GMM,50,true,0.235962317542772,0.5014687057195901,0.6167584435133614,1.7709905870294904
0,GMM,50,GMM,0.2416271947919236,0.5220002068401298,0.6139164561548791,1.7908243217771538
0,GMM,50,GME,0.355644455291307,0.7213049807213943,0.813903041890371,2.3928224186315687
0,GMM,50,VMF,0.25385588936323833,0.5484632723207443,0.6124935490344491,1.78344679121386
0,GMM,50,true,0.22460371568957288,0.48915711784027816,0.6063053077789543,1.7678957678907485
0,GMM,50,GMM,0.24979630293990965,0.5338302037028064,0.6177460447171378,1.7943031652734376
0,GMM,50,GME,0.3527417594297088,0.7196134500917003,0.7956970477556793,2.3359183517510833
