,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,5,GMM,0.17960116418024796,0.15489410410621304,0.4891119636888748,0.8127051608498316
0,GMM,5,GME,0.3993973401283162,0.4580823298991773,0.6250738148084857,1.0329658260697991
0,GMM,5,VMF,0.21335030322079723,0.1904820648474621,0.49226775565173847,0.8170505581116848
0,GMM,5,true,0.18024683110295064,0.15523413930808266,0.4882400198282334,0.8112431128135473
0,GMM,5,GMM,0.12119933613429952,0.09799355376834262,0.4405925493688831,0.755473473095754
0,GMM,5,GME,0.12602533635176308,0.10305225836234136,0.5133578084139871,0.8829436071720538
0,GMM,5,VMF,0.1280121617271895,0.10545521019214121,0.440353398603823,0.7548703869798463
0,GMM,5,true,0.11700131206524478,0.0941637251198931,0.43974276144145913,0.7540867705980409
0,GMM,5,GMM,0.11805009338974992,0.09541113420089645,0.4285737704681673,0.7362208869361223
0,GMM,5,GME,0.12609164728157812,0.1042573091479901,0.49201699032227764,0.846892610242738
0,GMM,5,VMF,0.1266843979866262,0.10515568722866275,0.42877070797275973,0.7359684900420627
0,GMM,5,true,0.11783954101807384,0.09539209178030415,0.428240783761502,0.7356390386777962
0,GMM,5,GMM,0.1825575594113608,0.15208764278886794,0.4549607646875871,0.7746014998246855
0,GMM,5,GME,0.1874562182197359,0.1577614560414859,0.5174141712184457,0.8832345510595311
0,GMM,5,VMF,0.18549070340428772,0.15618542494557747,0.4541643407040945,0.7730794664737753
0,GMM,5,true,0.18209866508064607,0.15104563260020037,0.4541033877929528,0.7731089772666506
0,GMM,5,GMM,0.07828792656518842,0.061749435399142294,0.40733452002549764,0.7084939525689375
0,GMM,5,GME,0.3541872889097673,0.4030621369202135,0.5670569741436234,0.9775333528017005
0,GMM,5,VMF,0.1043663538001646,0.08481272212592769,0.4105906393591523,0.7132255578853494
0,GMM,5,true,0.07681765510517914,0.060185623117163134,0.40673187660271704,0.7074179554707566
0,GMM,5,GMM,0.13745901226801277,0.1112852459546005,0.4833998167036907,0.8045805720762591
0,GMM,5,GME,0.16919471945686357,0.14323079525790086,0.576457478418579,0.9617204830236027
0,GMM,5,VMF,0.17000680759422052,0.1442800148516231,0.485380221003066,0.8068807966623682
0,GMM,5,true,0.13570336333469912,0.11022123676603468,0.48284047847705097,0.8036683195504293
0,GMM,5,GMM,0.13928007710042006,0.11448429518327848,0.4390862540121185,0.7538544543591009
0,GMM,5,GME,0.1367679860458489,0.11166855502815473,0.5087829739611792,0.8761609407851491
0,GMM,5,VMF,0.13984206672551128,0.11497836458878963,0.4377602545377042,0.7512304238480634
0,GMM,5,true,0.1411510229702424,0.11576500594169312,0.4381445167169473,0.7522383318147449
0,GMM,5,GMM,0.12513329590085676,0.10493281104736485,0.4352907883254813,0.7463046109985678
0,GMM,5,GME,0.14766356738373654,0.1293279388741217,0.4983458838193449,0.8569040684721678
0,GMM,5,VMF,0.14678640471114385,0.12841996646539156,0.43621786982257654,0.7469910874046675
0,GMM,5,true,0.12807105938453026,0.1081089230496729,0.4349671529126199,0.7459041611704974
0,GMM,5,GMM,0.224695536194555,0.19217439581035425,0.49786126519051666,0.8296451658575131
0,GMM,5,GME,0.4092983435954384,0.44879260331226706,0.5942042397140873,0.9870967169780057
0,GMM,5,VMF,0.25072722042548795,0.2271438511692275,0.4994995573633915,0.8307391918731102
0,GMM,5,true,0.22147137166086375,0.188447350544476,0.49755588743900514,0.8292835100229411
0,GMM,5,GMM,0.1325244317831507,0.10953022736014555,0.4451572628176753,0.75805979553389
0,GMM,5,GME,0.13883566278264806,0.1168825023978115,0.5144723618617407,0.8790664824780883
0,GMM,5,VMF,0.1405850782683195,0.11889560512934785,0.444662758140846,0.7568764455672814
0,GMM,5,true,0.13127853192624833,0.10816453421777128,0.44437762313125767,0.75675024810183
0,GMM,5,GMM,0.14358103146566986,0.11548076677645236,0.4676589399101704,0.786032990109087
0,GMM,5,GME,0.15389151987106303,0.12634899600887817,0.5483934466271075,0.9245258965501473
0,GMM,5,VMF,0.1544841446447683,0.12694592524807455,0.4673589036048298,0.784648172197229
0,GMM,5,true,0.14058118800027417,0.11216727763287411,0.4666364194816799,0.7843243936287737
0,GMM,5,GMM,0.1394880306736052,0.11738458553661064,0.46848329240699904,0.7856012440037211
0,GMM,5,GME,0.3073794703555291,0.3754411505179936,0.617152411213307,1.0382029235208319
0,GMM,5,VMF,0.14164966854758035,0.1187603849878196,0.4688068061379421,0.7859213872935972
0,GMM,5,true,0.13259733974301002,0.11114823094949293,0.46807219783613735,0.7849527323495522
0,GMM,5,GMM,0.2016938521705503,0.17119274491774533,0.4725919641382461,0.7976828010521451
0,GMM,5,GME,0.43394076271382176,0.4710656496469327,0.5961309920119439,1.0035051404824709
0,GMM,5,VMF,0.22288240528544395,0.19381459374775065,0.4751147087895604,0.801591440052081
0,GMM,5,true,0.19956097968064715,0.16923929859889203,0.4722309761172234,0.7970445943478892
0,GMM,5,GMM,0.18247747917759913,0.1514185986856142,0.4864826071265692,0.8104388188831539
0,GMM,5,GME,0.20586899699153652,0.18052540441715884,0.558725661582782,0.9321775763807096
0,GMM,5,VMF,0.20795398852287397,0.1850615267279226,0.48903522358737117,0.8134544300526929
0,GMM,5,true,0.18198826804348564,0.1507128639252461,0.4862513297980123,0.8099749155781152
0,GMM,5,GMM,0.08311211474059942,0.0656041362895713,0.42095924284815883,0.729237829539693
0,GMM,5,GME,0.09026858107116854,0.07152362471755244,0.4880752366963632,0.847445170621768
0,GMM,5,VMF,0.08941161283081359,0.07108046782703824,0.4210185095631329,0.7291948169381861
0,GMM,5,true,0.08253370834560629,0.06505293759763595,0.42029715646112065,0.728025908572419
0,GMM,5,GMM,0.24417475192904176,0.21192092112733504,0.5514838620545808,0.8916802144315179
0,GMM,5,GME,0.43052517534390056,0.47247945583826023,0.6984474864625272,1.1300812210699365
0,GMM,5,VMF,0.2618777752942826,0.23241236106535634,0.5512347420451701,0.8903188651864773
0,GMM,5,true,0.24105332883009875,0.20823806049559573,0.5499532604050662,0.8891337583328739
0,GMM,5,GMM,0.1719866463029518,0.14399700228809253,0.47340937531707833,0.7953370451646314
0,GMM,5,GME,0.16818000716195378,0.1422986197376426,0.5488717839939579,0.9252769758218148
0,GMM,5,VMF,0.17146962028260598,0.14505412079923533,0.47220611337240853,0.7929656078419821
0,GMM,5,true,0.1709169939321435,0.14311117299664416,0.47274764283660253,0.7941952765383097
0,GMM,5,GMM,0.20151672217821148,0.18145427004978737,0.4710200402252159,0.7885530652216155
0,GMM,5,GME,0.3645840102420127,0.4351235457874246,0.5771581155292823,0.9640061605723468
0,GMM,5,VMF,0.22141638861842688,0.20201686295677312,0.4735369459563687,0.7915604039901492
0,GMM,5,true,0.20156668536863181,0.1806351831445613,0.47004676809487844,0.7868908218645404
0,GMM,5,GMM,0.20557230194668458,0.17734526996469166,0.5304609205229235,0.8620018147510933
0,GMM,5,GME,0.3839383858216874,0.4329267428908694,0.6553491004466843,1.0642478172599852
0,GMM,5,VMF,0.22862756924510483,0.2016469949451894,0.5313927648621986,0.8619647215555446
0,GMM,5,true,0.20835191605531794,0.17940802340308623,0.5302115693133596,0.8615890261425102
0,GMM,5,GMM,0.13043528136899532,0.10381562597535494,0.4482413554354029,0.7634622170881116
0,GMM,5,GME,0.3373751024347499,0.4057622336609584,0.6308568230552958,1.075402625918596
0,GMM,5,VMF,0.13925527206792537,0.11357016147766438,0.4486436782781747,0.7638612615537635
0,GMM,5,true,0.13132126745889172,0.10441114022347213,0.44766911020954386,0.7624305277269792
0,GME,5,GMM,0.6547720431038215,0.9259162253201196,0.5485184147202071,1.1439308662555714
0,GME,5,GME,0.3289169890136662,0.2899157544184183,0.3725115944341891,0.6473776647153778
0,GME,5,VMF,0.43902871777457086,0.48296881713745343,0.398144836349167,0.7840242129196554
0,GME,5,true,0.32970330745102955,0.2908345412712779,0.37242729173701966,0.6471054544646183
0,GME,5,GMM,0.6746825440001668,0.9397125357940055,0.49777215326166513,1.0228166566469634
0,GME,5,GME,0.3622032407300167,0.3232516972020817,0.36571750290306276,0.6378217278153193
0,GME,5,VMF,0.36261270405970447,0.3236232925284853,0.350692782275115,0.6139022013314724
0,GME,5,true,0.3628575578886487,0.3237272045968199,0.3656070065450822,0.6375855780906481
0,GME,5,GMM,0.6114295196054186,0.9061653741002426,0.5612014344883879,1.077818590677633
0,GME,5,GME,0.32640889736077217,0.28529238701592524,0.37574499459670857,0.6508898947033649
0,GME,5,VMF,0.32107976039093433,0.2798276190997286,0.3551992845241598,0.6185024181297871
0,GME,5,true,0.32511410312833533,0.2838867356301283,0.3756263130703516,0.6505837752391741
0,GME,5,GMM,0.6703306181448575,0.9364368527474637,0.5671619694702609,1.1794319698828204
0,GME,5,GME,0.3333870151050277,0.29500905040167796,0.38172559027434444,0.6547395377066956
0,GME,5,VMF,0.334931073123917,0.2962630814071237,0.36273766101865074,0.6252073594613085
0,GME,5,true,0.33449833461897605,0.29565743989032717,0.38168395362492497,0.6545725608153301
0,GME,5,GMM,0.6386632917781048,0.9230559812724959,0.5589879612310803,1.0726263374195033
0,GME,5,GME,0.3519167439258847,0.30956070580708867,0.3834970873153996,0.6640635452198538
0,GME,5,VMF,0.3519785022919323,0.310144076609206,0.362880952433325,0.631345389550157
0,GME,5,true,0.3515641134423868,0.30911877756081196,0.38318245221304115,0.6634490678312744
0,GME,5,GMM,0.6466151687386953,0.918055299784496,0.5655897944935159,1.1689796453955998
0,GME,5,GME,0.44955845487297974,0.4888375759924539,0.4938862767437336,1.0387209596680564
0,GME,5,VMF,0.33596285870049314,0.29650558926725956,0.35328069176014676,0.6188116923849155
0,GME,5,true,0.33481173106563367,0.29512644788441983,0.3723806139531306,0.6484039259809486
0,GME,5,GMM,0.6276126357403536,0.9049294544212485,0.53091259069384,1.0735209040307983
0,GME,5,GME,0.44413606271945605,0.4846080762609531,0.45322511474734944,0.9097521603640489
0,GME,5,VMF,0.33715824043975406,0.2961724027454122,0.34691806768891276,0.6085621824980033
0,GME,5,true,0.33727953363217117,0.2970155144943801,0.3680766968584814,0.6420106446237805
0,GME,5,GMM,0.657288575405531,0.9268256431786103,0.5304811538807337,1.0732253429754324
0,GME,5,GME,0.33939808759261664,0.3000193462760531,0.3736886454126903,0.6453341008850687
0,GME,5,VMF,0.33683711843392045,0.29778545705246817,0.3539154901454584,0.6142622745105875
0,GME,5,true,0.33907078069213514,0.2999706624951277,0.3734350818077238,0.644841413754033
0,GME,5,GMM,0.6375085706098911,0.778045775544185,0.5078194644013379,1.0908521461829421
0,GME,5,GME,0.3578338763638627,0.315463339961108,0.3807159712852794,0.6579689352094775
0,GME,5,VMF,0.35875356231326533,0.31718837618292595,0.3626555451613092,0.629743309034072
0,GME,5,true,0.358946538700338,0.3166220985606835,0.3804665324353639,0.6574295866607348
0,GME,5,GMM,0.6389228667951677,0.9184622463442607,0.5348017965508064,1.03134173141058
0,GME,5,GME,0.349570761287335,0.3069757362432117,0.37402480945863287,0.6466427419978631
0,GME,5,VMF,0.34962612663767606,0.3073575115729835,0.3555804269240627,0.6175087808802827
0,GME,5,true,0.3503800713482784,0.307772958904912,0.3740171854066278,0.6465333559437814
0,GME,5,GMM,0.6491981120295284,0.9205319338842596,0.5497415058472414,1.1167559894485053
0,GME,5,GME,0.33711136527176994,0.29608357270042307,0.38202121117938115,0.6624398342383417
0,GME,5,VMF,0.3363929854460201,0.2956663389765245,0.3601831251668699,0.6280802056960498
0,GME,5,true,0.33755417400583665,0.29659170944796365,0.3820009424029472,0.6623019658515377
0,GME,5,GMM,0.6357690134035114,0.9108688344560718,0.5582187486856386,1.1659491457027553
0,GME,5,GME,0.35507700517762775,0.3190099647601609,0.37898772099802536,0.6541695139251918
0,GME,5,VMF,0.4489491533646401,0.4894119256311318,0.40482211928414624,0.7946993362862345
0,GME,5,true,0.3546007018686577,0.31856367102426686,0.3789677525416284,0.6540704070403813
0,GME,5,GMM,0.6573806756620842,0.9244047743870588,0.5561921858161051,1.1368286176192655
0,GME,5,GME,0.3328593094186416,0.2937348942798088,0.3735283037691849,0.6477485919673442
0,GME,5,VMF,0.33306433713664496,0.2939915197556576,0.3536413096483031,0.6167388255283344
0,GME,5,true,0.3328188564297185,0.29409781342622265,0.3732021326300954,0.6471118929692653
0,GME,5,GMM,0.6608323119798435,0.9289291253298204,0.5282939566586965,1.091581271711418
0,GME,5,GME,0.35093935649863417,0.3090004723567696,0.373475360835443,0.6481704462443703
0,GME,5,VMF,0.462722786953001,0.5013906217993933,0.41441817326172914,0.8466919030646588
0,GME,5,true,0.35234865503846413,0.31034488111137304,0.3732692634353501,0.6477609620275698
0,GME,5,GMM,0.6598662641443729,0.9272622589559074,0.5485685278688645,1.1020143829475613
0,GME,5,GME,0.3338650689633852,0.295505981445822,0.3825989026818216,0.6587363966565659
0,GME,5,VMF,0.33730784191355456,0.2984897561925065,0.3606861886240465,0.624541372223881
0,GME,5,true,0.33485104841840113,0.2964111238315445,0.382198604573106,0.657932999547753
0,GME,5,GMM,0.6766587975223827,0.9370972967154584,0.49699576292968795,0.9957427824613263
0,GME,5,GME,0.43604427718731353,0.4795252713872187,0.39147178214595263,0.7362489952482072
0,GME,5,VMF,0.44029961125236755,0.4808383440758622,0.3684658075434721,0.7002210021675539
0,GME,5,true,0.3421315294753538,0.30591116096089577,0.358675149004059,0.6294842953956752
0,GME,5,GMM,0.6607808974126194,0.9292319901491201,0.5309836646762478,1.1000785766579306
0,GME,5,GME,0.3472450557261386,0.30867866602950367,0.3652427877745156,0.6366655864862384
0,GME,5,VMF,0.34857763677126197,0.3098974521213023,0.3487686974208938,0.610396946461804
0,GME,5,true,0.3460858164007663,0.3077079842884477,0.36510995608710084,0.6363309280265675
0,GME,5,GMM,0.6662487114434151,0.9341746672741398,0.57877298842289,1.1726149567096171
0,GME,5,GME,0.4333175594444513,0.471905083020921,0.4478852926195046,0.866685349812913
0,GME,5,VMF,0.33279182674933516,0.2930296179927792,0.35814062748362796,0.6226418890448875
0,GME,5,true,0.3344247669826737,0.2948987003797109,0.380032997277943,0.6574439845887904
0,GME,5,GMM,0.6461739917217038,0.9186134088064254,0.5297004280374523,1.0976160950796585
0,GME,5,GME,0.3338831470671729,0.29457331940679193,0.3652850349440568,0.6380929293635151
0,GME,5,VMF,0.3329080858682414,0.2928710645033149,0.347815022679181,0.6103310303201454
0,GME,5,true,0.3338074431083095,0.29463370998775706,0.3651494837593268,0.637707059659538
0,GME,5,GMM,0.6997262299738616,0.9539312299132151,0.5031782047784202,1.0429161176926272
