,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,10,GMM,0.27240708066226943,0.306028443914358,0.5683635236295064,1.5651929141114347
0,GMM,10,GME,0.3411947648547839,0.41287151566973446,0.7152270769151,1.9807667984096944
0,GMM,10,VMF,0.2761345778275865,0.31175975467043376,0.5664482078399719,1.558251611553806
0,GMM,10,true,0.2673900943489769,0.3004014249689619,0.5667678862419583,1.5610542273203016
0,GMM,10,GMM,0.2242559163617046,0.30183184087868425,0.5038428574074105,1.4886795393030297
0,GMM,10,GME,0.379692008020239,0.5244805832184933,0.6633827036428375,1.9611703541177228
0,GMM,10,VMF,0.2476805093741358,0.32477112414229303,0.5050960446290823,1.4893925430865174
0,GMM,10,true,0.16875158442832094,0.1884542069639023,0.47965884348469656,1.4213520148572627
0,GMM,10,GMM,0.250210790647903,0.27920622010148854,0.5453128725852137,1.5219221237540383
0,GMM,10,GME,0.26478343144882166,0.29457412186232823,0.6591298909948533,1.8537688027238517
0,GMM,10,VMF,0.2593419417427657,0.2873672843848897,0.544575961054868,1.5176614000221533
0,GMM,10,true,0.2447660359904059,0.27122315252902773,0.5448038407351286,1.5199973960976407
0,GMM,10,GMM,0.24144392531120343,0.2707464906254061,0.528126993374724,1.490495770117372
0,GMM,10,GME,0.28268381358587447,0.33773705225986395,0.6445874258493726,1.8275071266039449
0,GMM,10,VMF,0.25544163028638556,0.2836829433709109,0.5274319660531962,1.4851241024026272
0,GMM,10,true,0.23737105239232123,0.2632553320981967,0.5268795071276616,1.4867582844634861
0,GMM,10,GMM,0.18401352595342713,0.20224951853015766,0.49387571229334243,1.4344245910316045
0,GMM,10,GME,0.28250356038887825,0.33858969565754465,0.6319878392367011,1.8420851010059691
0,GMM,10,VMF,0.197453837165345,0.21860265566578443,0.4947174858770881,1.4350128959542912
0,GMM,10,true,0.18069460167550652,0.1982786796767363,0.492377518648248,1.4296851579297127
0,GMM,10,GMM,0.2503165446224295,0.28474125642983245,0.5334317473604013,1.5003306441234279
0,GMM,10,GME,0.3169544969260471,0.38080468571447595,0.6521714030507499,1.8397753912477144
0,GMM,10,VMF,0.2630777989710218,0.3017253954323557,0.5329995380166004,1.4970345100967362
0,GMM,10,true,0.2523156365455323,0.2864630182491923,0.5326403289699784,1.4979848236362194
0,GMM,10,GMM,0.17086992977575136,0.19063130445267346,0.4623005684020225,1.409087752721782
0,GMM,10,GME,0.18265596090775668,0.20543011093194546,0.5526743301928949,1.6938870361947342
0,GMM,10,VMF,0.18187531133553722,0.20438674554675065,0.46301393506386895,1.4081122707221174
0,GMM,10,true,0.16946879986902724,0.1888918912564291,0.4617441343198192,1.4075080754460336
0,GMM,10,GMM,0.22255114221348063,0.25609635516414353,0.5217591669308691,1.4804999624702186
0,GMM,10,GME,0.4152030100319881,0.5425942938506554,0.6953143425468192,1.9766563913292339
0,GMM,10,VMF,0.2442794147203367,0.28271138886355596,0.5223118238167193,1.479082597675903
0,GMM,10,true,0.22380211989323584,0.2579221520090874,0.5213424378105185,1.4794498571384544
0,GMM,10,GMM,0.09841898169509967,0.10687074984325577,0.40433712793941495,1.311903167863337
0,GMM,10,GME,0.20498504926979658,0.264311231293044,0.5182636599383404,1.672899768712635
0,GMM,10,VMF,0.11126679217798223,0.12044759749960879,0.40607607296200693,1.3134932798254306
0,GMM,10,true,0.09635455220590587,0.10488669313172938,0.4037052902748864,1.3095421742111328
0,GMM,10,GMM,0.18020292859563591,0.19624060172849425,0.4992730135165407,1.448651169143562
0,GMM,10,GME,0.2807821659294044,0.3481704938632646,0.647904458036683,1.880053481615273
0,GMM,10,VMF,0.19816342788704913,0.217425936473071,0.49945749043626075,1.4463668410563073
0,GMM,10,true,0.17585555925062307,0.190931882693043,0.49837112193138644,1.4465702704472843
0,GME,10,GMM,0.5604353593946778,0.8513918363443743,0.5356413961005667,2.8366163275277376
0,GME,10,GME,0.3865128949807196,0.4887419282944082,0.46843713425742006,2.55051500091829
0,GME,10,VMF,0.3452632271904984,0.40415286320416294,0.3794072821311469,1.7268751782269407
