,data_type,K,model,nmi,ari,coserr_E,coserrA_E
0,GMM,20,GMM,0.23071854701368766,0.3432249405094626,0.5338281195009029,1.5719053413068387
0,GMM,20,GME,0.3270136178343784,0.5077880061275224,0.6899447338424792,2.041197376217591
0,GMM,20,VMF,0.25186352886333135,0.38035879567154346,0.5341282468099887,1.568167493365835
0,GMM,20,true,0.21163472912816994,0.3103857073353993,0.5211583590414688,1.5339495157084166
0,GMM,20,GMM,0.2752951994670503,0.4005662657782203,0.5926394002704785,1.6595898060749041
0,GMM,20,GME,0.4311535536628357,0.6369519580210217,0.7825104225413554,2.2049172528243544
0,GMM,20,VMF,0.2815959788653545,0.4095624644870829,0.590110140466275,1.6501157887996738
0,GMM,20,true,0.26426259447715045,0.38577128633691304,0.5903187543208248,1.652679316596852
0,GMM,20,GMM,0.19618593751741725,0.2907214358336428,0.514790298565808,1.539777789710944
0,GMM,20,GME,0.26564695637426655,0.3986623493130611,0.6631219943726574,1.9947641131106575
0,GMM,20,VMF,0.22974042633724706,0.35638448854488824,0.5226551342400972,1.5604126727208776
0,GMM,20,true,0.19348572359206095,0.2878992833542059,0.5127807552201813,1.5330679250984067
0,GMM,20,GMM,0.21339814116959457,0.31795263551270725,0.5236750087063411,1.5528405551681483
0,GMM,20,GME,0.24106465972544822,0.3647617944775422,0.6617616373871386,1.9728370641506914
0,GMM,20,VMF,0.23729965678517134,0.35832133418073675,0.5312832938463582,1.5733202004687015
0,GMM,20,true,0.20341404133619773,0.30094297717839746,0.5204598656227586,1.542400847264643
0,GMM,20,GMM,0.17998282302822072,0.2689273207537574,0.5056708936572544,1.516701543452441
0,GMM,20,GME,0.2956661074674968,0.46314587008136643,0.6726194055213649,2.028370736347355
0,GMM,20,VMF,0.21635451548326304,0.3375464933904381,0.5117182333118903,1.530734859052607
0,GMM,20,true,0.1799167871193587,0.2672017201243861,0.5038135383029801,1.5112599599297973
0,GMM,20,GMM,0.2157872001292282,0.31319865880813647,0.5330156204816734,1.5622687777341249
0,GMM,20,GME,0.3000798303173068,0.44484134317858776,0.6965117741584993,2.0575108038836496
0,GMM,20,VMF,0.21853714406153008,0.31774162910228243,0.5320322463384305,1.5575584341417827
0,GMM,20,true,0.21241503378081977,0.30893152363745047,0.5309770606997816,1.5558402900647565
0,GMM,20,GMM,0.1935600191553216,0.287334162911156,0.5115783745169878,1.5248848723821555
0,GMM,20,GME,0.28158512677788855,0.44393905245435394,0.6626672840182386,1.985184236583877
0,GMM,20,VMF,0.23430165472539116,0.35574362851750846,0.5230902466172803,1.5538340978965912
0,GMM,20,true,0.19063909286502914,0.28384384509652894,0.5106812673421646,1.522189187495178
0,GMM,20,GMM,0.23514854849725192,0.3421636644819505,0.5511222141893851,1.5757779570838129
0,GMM,20,GME,0.3360425897765878,0.5036160963865683,0.7186347253049503,2.0682610844949507
0,GMM,20,VMF,0.24720477975644642,0.357549628629146,0.5498438140185004,1.567733002097663
0,GMM,20,true,0.2310133537738707,0.3349646194694228,0.5504060170339374,1.5736483812304962
0,GMM,20,GMM,0.2754058266824492,0.4092742962316295,0.5684982853048693,1.623089307194257
0,GMM,20,GME,0.30851924683336135,0.4561987694874978,0.7314050887511279,2.1067690821337477
0,GMM,20,VMF,0.2843465589600631,0.43073445911815894,0.570707131404515,1.629087528500486
0,GMM,20,true,0.26900067307766684,0.3989270148026832,0.5659985483941412,1.615465960530986
0,GMM,20,GMM,0.26698851588782746,0.3862138963086665,0.5812542355995632,1.63749538597714
0,GMM,20,GME,0.40412060112622267,0.5990621130086924,0.7712957334200751,2.18978556176331
0,GMM,20,VMF,0.3107914249490656,0.4557228683405369,0.5954627837811344,1.6748791454098555
0,GMM,20,true,0.2600598610283035,0.37676649659105393,0.5790454685266031,1.6308568103156451
0,GME,20,GMM,0.5340276121631253,0.8853001708824368,0.5696408682663389,2.7653933570173823
0,GME,20,GME,0.3093714661552533,0.46341359756440975,0.43984940410540396,1.8478135117468988
0,GME,20,VMF,0.28787106428126386,0.4184648955860969,0.3870569100831911,1.503496534555476
0,GME,20,true,0.2773966167140906,0.3954914785564877,0.4029333428574626,1.3956499527545148
0,GME,20,GMM,0.52492910039642,0.8783483883839583,0.5761741327511931,2.8839579474840153
0,GME,20,GME,0.29370517511013217,0.4281408603160399,0.42763176069977543,1.675332614028512
0,GME,20,VMF,0.2987853515361964,0.43478662144035607,0.3988648921892245,1.7502798364669054
