model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.2	12	0.9947088956832886	6	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	7	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	8	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	9	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	10	11.830410957336426
MixVMF (K = 11)	0.2	13	0.9949766397476196	0	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	1	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	2	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	3	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	4	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	5	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	6	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	7	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	8	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	9	12.183785438537598
MixVMF (K = 11)	0.2	13	0.9949766397476196	10	12.183785438537598
