,data_type,K,model,nmi,ari,coserr_E,coserrA_E,Uerr
0,GMM,5,GMM,0.25592701243400445,0.2627453978828282,0.4814255499254324,1.4538901519239857,0.1091
0,GMM,5,GME,0.2634688909641439,0.26759895526639077,0.5379075936929809,1.6257181482615881,0.1115
0,GMM,5,VMF,0.2628303313829835,0.2668505043827979,0.48360532331657674,1.4596971849077087,0.11120000000000001
0,GMM,5,true,0.25456389699275495,0.2667961780135484,0.4829858536111805,1.4587025725573535,0.11139999999999999
0,GMM,5,GMM,0.28564218220673887,0.2810162234249014,0.48703824725209943,1.4533584654477505,0.11779999999999999
0,GMM,5,GME,0.2812637800578826,0.281573390683375,0.5400897015050472,1.6182896294823177,0.1177
0,GMM,5,VMF,0.27854894307814904,0.28198263105296484,0.4875900486660648,1.4547008245127067,0.11779999999999999
0,GMM,5,true,0.28183306471843916,0.27770238893572663,0.4884596751341803,1.4578305353204954,0.1162
0,GMM,5,GMM,0.2778621550945789,0.2873652400014767,0.4884938181723551,1.4675244818358508,0.121
0,GMM,5,GME,0.2942805602260625,0.3069970324095377,0.5445527229880287,1.6351806078550861,0.12920000000000004
0,GMM,5,VMF,0.29121477757887393,0.30417472161819586,0.4917411428608995,1.4751641723705515,0.12799999999999997
0,GMM,5,true,0.2807343439992323,0.29156588761043095,0.4899366070949747,1.4718973239515076,0.1222
0,GMM,5,GMM,0.3259076597753915,0.33701523333074773,0.5709019197259472,1.5501586576510458,0.14450000000000002
0,GMM,5,GME,0.5226858935019576,0.5758616032740562,0.706708357841655,1.9081921784541145,0.36550000000000005
0,GMM,5,VMF,0.3700830840791839,0.37010940625798294,0.5768409827709642,1.56196763866089,0.1654
0,GMM,5,true,0.3244537516524979,0.3356417245005372,0.5736383614071452,1.558036668547992,0.1438
0,GMM,5,GMM,0.40119691098120924,0.4155935182666294,0.5678178137901002,1.5364496329657649,0.18839999999999998
0,GMM,5,GME,0.5408186208284683,0.5710518776957925,0.6432488034642816,1.731244831141527,0.3613
0,GMM,5,VMF,0.42720001956577247,0.4398963289880359,0.5729183882289051,1.5449680534245709,0.20329999999999998
0,GMM,5,true,0.39729489220537706,0.41156675675728005,0.570615335193464,1.5442531922730425,0.1863
0,GMM,5,GMM,0.3033941646873796,0.3140865176604413,0.5417491819872307,1.5151881448613302,0.1341
0,GMM,5,GME,0.4520201009102429,0.5211818199954531,0.6652913218088792,1.8496255491014364,0.3786
0,GMM,5,VMF,0.3283712490077055,0.3303798870436811,0.5468443310942492,1.526228291719308,0.1444
0,GMM,5,true,0.30385536855140793,0.3133227087804358,0.5442226134889856,1.522326827739437,0.1338
0,GMM,5,GMM,0.3069121876608535,0.31162714388323864,0.525718142805248,1.4983937924139705,0.1316
0,GMM,5,GME,0.45891461214090185,0.5182824368795472,0.630190582083183,1.7848203836048149,0.28959999999999997
0,GMM,5,VMF,0.3209451605026226,0.33724844007619903,0.5295267036365768,1.5041207716549554,0.1437
0,GMM,5,true,0.29093838190549504,0.30690502797591207,0.5278565257635344,1.5046340533755818,0.1298
0,GMM,5,GMM,0.23331444597992235,0.24728643056488925,0.4475285611311797,1.4204867700099875,0.10130000000000002
0,GMM,5,GME,0.2449038272334923,0.25901266546843654,0.49157547758616016,1.5610887881424358,0.10600000000000001
0,GMM,5,VMF,0.24499390924281825,0.25917461819420745,0.449919348821563,1.4263219710829165,0.10610000000000001
0,GMM,5,true,0.22922816144595676,0.2444964098113782,0.4482762114972759,1.4228825314051827,0.09990000000000002
0,GMM,5,GMM,0.23128061037672829,0.2473949676429176,0.46276369102089776,1.427608342401086,0.10189999999999999
0,GMM,5,GME,0.23483645717702384,0.25001416763171014,0.5139992805500398,1.5903506103009484,0.10330000000000002
0,GMM,5,VMF,0.23521400180007115,0.25042829478207107,0.4642550801595937,1.431506781555692,0.1035
0,GMM,5,true,0.23698957152816313,0.24849958696270041,0.4642888935136081,1.4324261626957493,0.1018
0,GMM,5,GMM,0.21977305124024787,0.23507528943819822,0.45574222326440517,1.4238952046250128,0.09659999999999999
0,GMM,5,GME,0.22490846274681947,0.2390405643459001,0.5070984910701719,1.59033110781154,0.0984
0,GMM,5,VMF,0.22682563402859132,0.23946945912432396,0.45675642332202965,1.4266050363984417,0.0981
0,GMM,5,true,0.22323846387337265,0.23361594131290736,0.45679566095811097,1.4274154649799633,0.09430000000000001
0,GMM,5,GMM,0.283084829480879,0.283886282076505,0.5068278972466576,1.4626034202372746,0.11850000000000001
